"cell","dep","rel","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge","diff_hl","diff_ed","deg","R"
"A_p5","null",0,0.046,0.05,0.05,0.044,0.046,"+0.002 (0.005)","+0.004 (0.005)",3,500
"B_p100","null",0,0.052,0.028,0.03,0.058,0.046,"-0.006 (0.005)","-0.018 (0.010)",2,500
"B_p160","null",0,0.036,0.018,0.022,0.074,0.05,"-0.038 (0.009)","-0.032 (0.009)",2,500
"B_p40","null",0,0.06,0.04,0.044,0.05,0.042,"+0.010 (0.005)","-0.002 (0.009)",2,500
"A_p5","index",0.4,0.108,0.116,0.116,0.106,0.118,"+0.002 (0.004)","-0.002 (0.006)",3,500
"B_p100","index",0.4,0.038,0.026,0.018,0.062,0.036,"-0.024 (0.007)","-0.010 (0.007)",2,500
"B_p160","index",0.4,0.042,0.012,0.024,0.098,0.05,"-0.056 (0.010)","-0.038 (0.009)",2,500
"B_p40","index",0.4,0.036,0.02,0.016,0.04,0.022,"-0.004 (0.005)","-0.002 (0.007)",2,500
"A_p5","offindex",0.4,0.082,0.112,0.112,0.078,0.108,"+0.004 (0.004)","+0.004 (0.007)",3,500
"B_p100","offindex",0.4,0.034,0.028,0.022,0.044,0.044,"-0.010 (0.004)","-0.016 (0.010)",2,500
"B_p160","offindex",0.4,0.046,0.024,0.026,0.076,0.062,"-0.030 (0.008)","-0.038 (0.010)",2,500
"B_p40","offindex",0.4,0.046,0.032,0.04,0.034,0.044,"+0.012 (0.006)","-0.012 (0.007)",2,500
"A_p5","index",0.7,0.194,0.304,0.306,0.184,0.322,"+0.010 (0.007)","-0.018 (0.008)",3,500
"B_p100","index",0.7,0.036,0.026,0.01,0.078,0.032,"-0.042 (0.009)","-0.006 (0.008)",2,500
"B_p160","index",0.7,0.026,0.02,0.01,0.104,0.048,"-0.078 (0.012)","-0.028 (0.010)",2,500
"B_p40","index",0.7,0.026,0.02,0.008,0.03,0.04,"-0.004 (0.003)","-0.020 (0.008)",2,500
"A_p5","offindex",0.7,0.144,0.25,0.25,0.124,0.258,"+0.020 (0.007)","-0.008 (0.009)",3,500
"B_p100","offindex",0.7,0.042,0.022,0.034,0.062,0.058,"-0.020 (0.006)","-0.036 (0.011)",2,500
"B_p160","offindex",0.7,0.058,0.032,0.028,0.086,0.062,"-0.028 (0.008)","-0.030 (0.011)",2,500
"B_p40","offindex",0.7,0.05,0.044,0.054,0.048,0.052,"+0.002 (0.003)","-0.008 (0.011)",2,500
